CVE-2016-3139 EXPLOIT-DB:39538
CVE-2016-3136 EXPLOIT-DB:39541
CVE-2016-2399 EXPLOIT-DB:39487
CVE-2014-8517 EXPLOIT-DB:43112
CVE-2012-5533 EXPLOIT-DB:22902
CVE-2016-7203 EXPLOIT-DB:40787
CVE-2016-6504 EXPLOIT-DB:40194
CVE-2017-1000251 EXPLOIT-DB:42762
CVE-2013-1493 EXPLOIT-DB:24904
CVE-2015-8660 EXPLOIT-DB:39166
CVE-2015-8660 EXPLOIT-DB:40688
CVE-2015-8660 EXPLOIT-DB:39230
CVE-2013-1763 EXPLOIT-DB:24555
CVE-2013-1763 EXPLOIT-DB:24746
CVE-2013-1763 EXPLOIT-DB:33336
CVE-2014-7169 EXPLOIT-DB:34879
CVE-2014-0038 EXPLOIT-DB:31346
CVE-2014-0038 EXPLOIT-DB:31347
CVE-2014-0038 EXPLOIT-DB:40503
CVE-2014-0226 EXPLOIT-DB:34133
CVE-2016-1531 EXPLOIT-DB:39535
CVE-2016-1531 EXPLOIT-DB:39702
CVE-2016-1531 EXPLOIT-DB:39549
CVE-2016-7286 EXPLOIT-DB:40947
CVE-2017-7478 EXPLOIT-DB:41993
CVE-2015-7515 EXPLOIT-DB:39544
CVE-2011-2522 EXPLOIT-DB:17577
CVE-2016-8740 EXPLOIT-DB:40909
